ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,mx_ut,my_ut,mz_ut,dt_s
1.000000,0.890640,-9.275140,0.082025,-0.312122,-0.054328,60.363000,126.289000,-161.969000,0.010000
0.584190,0.694320,-8.978260,0.150202,-0.299339,-0.044741,60.363000,126.289000,-161.969000,0.010000
0.651220,0.689530,-8.667010,0.161920,-0.372843,-0.017044,60.363000,126.289000,-161.969000,0.010000
0.665590,0.627280,-8.801090,0.178964,-0.450607,-0.003196,60.363000,126.289000,-161.969000,0.010000
0.684740,0.627280,-9.097970,0.207727,-0.416518,0.005326,63.914000,122.715000,-160.828000,0.010000
0.751780,0.656010,-9.461890,0.264186,-0.363255,0.027697,63.914000,122.715000,-160.828000,0.010000
0.837970,0.689530,-9.619900,0.283360,-0.328101,0.053263,63.914000,122.715000,-160.828000,0.010000
0.957680,0.646430,-9.433160,0.357929,-0.201335,0.076699,63.914000,122.715000,-160.828000,0.010000
0.723050,0.933740,-8.705320,0.441019,-0.204531,0.103331,63.914000,122.715000,-160.828000,0.010000
0.675160,0.775720,-8.920800,0.467651,-0.274838,0.108657,63.914000,122.715000,-160.828000,0.010000
0.857120,0.852340,-9.811440,0.269512,-0.172573,0.100135,63.914000,122.715000,-160.828000,0.010000
0.928950,0.732630,-9.265560,0.259925,-0.153398,0.084156,63.914000,122.715000,-160.828000,0.010000
1.096540,0.780510,-9.457100,0.297209,-0.085221,0.079895,63.914000,122.715000,-160.828000,0.010000
1.086970,0.761360,-9.538500,0.276969,-0.051133,0.051133,63.914000,122.715000,-160.828000,0.010000
1.063030,0.732630,-9.361330,0.236489,-0.012783,0.028762,63.914000,122.715000,-160.828000,0.010000
1.158790,0.598550,-9.208100,0.270577,0.029827,0.013848,63.914000,122.715000,-160.828000,0.010000
0.344770,1.201890,-8.422800,0.453803,0.123571,0.090547,62.730000,125.098000,-161.969000,0.010000
0.502780,1.230620,-9.289500,0.436758,0.126766,0.120375,62.730000,125.098000,-161.969000,0.010000
0.493210,1.249770,-9.308660,0.395213,0.109722,0.113983,62.730000,125.098000,-161.969000,0.010000
0.914590,0.895430,-9.308660,0.377104,0.168312,0.104396,62.730000,125.098000,-161.969000,0.010000
1.163580,0.871490,-9.265560,0.291882,0.045806,0.066046,62.730000,125.098000,-161.969000,0.010000
1.283290,0.713470,-9.504980,0.213053,-0.054328,0.018109,62.730000,125.098000,-161.969000,0.010000
1.278500,0.890640,-9.394850,0.203466,-0.059655,0.002131,62.730000,125.098000,-161.969000,0.010000
