ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,dt_s
0.622490,0.924160,-9.308660,0.224771,-0.073503,0.040480,0.010000
0.651220,0.928950,-9.327810,0.213053,-0.078830,0.034088,0.010000
0.622490,0.962470,-9.236830,0.199204,-0.093743,0.036219,0.010000
0.651220,0.967260,-9.303870,0.196009,-0.096939,0.042611,0.010000
0.751780,0.967260,-9.260770,0.205596,-0.129962,0.055394,0.010000
0.775720,0.967260,-9.255980,0.224771,-0.151268,0.064981,0.010000
0.751780,0.890640,-9.356540,0.238619,-0.147006,0.066046,0.010000
0.670380,0.943320,-9.241620,0.251402,-0.150202,0.073503,0.010000
0.756570,0.909800,-9.289500,0.264186,-0.154463,0.075634,0.010000
0.766140,0.928950,-9.332600,0.253533,-0.139550,0.074569,0.010000
0.651220,0.905010,-9.208100,0.251402,-0.125701,0.068177,0.010000
0.651220,0.952890,-9.289500,0.241815,-0.111853,0.056459,0.010000
0.579400,0.976830,-9.232040,0.225836,-0.111853,0.043676,0.010000
0.660800,0.924160,-9.217680,0.222640,-0.095874,0.036219,0.010000
0.694320,0.995990,-9.169790,0.230097,-0.100135,0.041545,0.010000
0.679950,0.952890,-9.097970,0.241815,-0.089482,0.033023,0.010000
0.799660,0.881070,-9.303870,0.224771,-0.068177,0.025566,0.010000
0.751780,0.938530,-9.232040,0.214118,-0.054328,0.025566,0.010000
0.742200,0.943320,-9.222460,0.208792,-0.055394,0.021305,0.010000
0.723050,0.924160,-9.217680,0.210922,-0.074569,0.028762,0.010000
0.723050,0.938530,-9.131480,0.214118,-0.082025,0.029827,0.010000
0.770930,1.029510,-9.203310,0.206661,-0.083091,0.031958,0.010000
0.804450,0.986410,-9.222460,0.199204,-0.079895,0.033023,0.010000
0.814030,0.972050,-9.208100,0.200270,-0.072438,0.026632,0.010000
0.852340,0.952890,-9.232040,0.189617,-0.074569,0.025566,0.010000
0.905010,0.981620,-9.188950,0.206661,-0.080960,0.034088,0.010000
0.924160,0.928950,-9.222460,0.214118,-0.082025,0.039415,0.010000
0.857120,0.919370,-9.145850,0.234358,-0.055394,0.031958,0.010000
0.785300,0.857120,-9.059660,0.222640,-0.034088,0.028762,0.010000
0.670380,0.842760,-9.054870,0.222640,-0.026632,-0.002131,0.010000
0.737410,0.828390,-9.097970,0.203466,-0.034088,-0.013848,0.010000
0.675160,0.991200,-9.040510,0.174703,-0.079895,-0.013848,0.010000
0.742200,0.919370,-8.973470,0.182160,-0.131028,-0.020240,0.010000
0.737410,0.866700,-8.858550,0.189617,-0.158724,-0.007457,0.010000
0.952890,0.804450,-9.361330,0.186421,-0.133158,0.004261,0.010000
1.063030,0.895430,-9.279930,0.194943,-0.090547,0.025566,0.010000
1.091760,0.785300,-9.303870,0.197074,-0.072438,0.029827,0.010000
1.149220,0.660800,-9.279930,0.234358,-0.084156,-0.034088,0.010000
1.077390,0.723050,-9.428370,0.235423,-0.025566,0.001065,0.010000
1.034300,0.713470,-9.414000,0.214118,0.019175,0.009587,0.010000
